
YEAR_or_SEASON,StateName,VirusType,NumberOfCases
2011,Alabama,Influenza A H3N2v,0
2011,Alabama,Influenza A H7N2,0
2011,Arkansas,Influenza A H1N1v,0
2011,Arkansas,Influenza A H1N2v,0
2011,Arkansas,Influenza A H3N2v,0
2011,Arkansas,Influenza A H7N2,0
2011,Arizona,Influenza A H1N1v,0
2011,Arizona,Influenza A H1N2v,0
2011,Arizona,Influenza A H3N2v,0
2011,Arizona,Influenza A H7N2,0
2011,California,Influenza A H1N1v,0
2011,California,Influenza A H1N2v,0
2011,California,Influenza A H3N2v,0
2011,California,Influenza A H7N2,0
2011,Colorado,Influenza A H1N1v,0
2011,Colorado,Influenza A H1N2v,0
2011,Colorado,Influenza A H3N2v,0
2011,Colorado,Influenza A H7N2,0
2011,Massachusetts,Influenza A H1N1v,0
2011,Connecticut,Influenza A H1N1v,0
2011,Connecticut,Influenza A H1N2v,0
2011,Connecticut,Influenza A H3N2v,0
2011,Connecticut,Influenza A H7N2,0
2011,New Mexico,Influenza A H1N1v,0
2011,New Mexico,Influenza A H1N2v,0
2011,New Mexico,Influenza A H3N2v,0
2011,New Mexico,Influenza A H7N2,0
2011,Nevada,Influenza A H1N1v,0
2011,Nevada,Influenza A H1N2v,0
2011,Nevada,Influenza A H3N2v,0
2011,Nevada,Influenza A H7N2,0
2011,New York,Influenza A H1N1v,0
2011,New York,Influenza A H1N2v,0
2011,New York,Influenza A H3N2v,0
2011,New York,Influenza A H7N2,0
2011,Ohio,Influenza A H1N1v,0
2011,Ohio,Influenza A H1N2v,0
2011,Ohio,Influenza A H3N2v,0
2011,Ohio,Influenza A H7N2,0
2011,Oklahoma,Influenza A H1N1v,0
2011,Oklahoma,Influenza A H1N2v,0
2011,Oklahoma,Influenza A H3N2v,0
2011,Oklahoma,Influenza A H7N2,0
2011,Oregon,Influenza A H1N1v,0
2011,Oregon,Influenza A H1N2v,0
2011,Oregon,Influenza A H3N2v,0
2011,Oregon,Influenza A H7N2,0
2011,Pennsylvania,Influenza A H1N1v,0
2011,Pennsylvania,Influenza A H1N2v,0
2011,Pennsylvania,Influenza A H3N2v,3
2011,Pennsylvania,Influenza A H7N2,0
2011,Puerto Rico,Influenza A H1N1v,0
2011,Puerto Rico,Influenza A H1N2v,0
2011,Puerto Rico,Influenza A H3N2v,0
2011,Puerto Rico,Influenza A H7N2,0
2011,Rhode Island,Influenza A H1N1v,0
2011,Rhode Island,Influenza A H1N2v,0
2011,Rhode Island,Influenza A H3N2v,0
2011,Rhode Island,Influenza A H7N2,0
2011,South Carolina,Influenza A H1N1v,0
2011,South Carolina,Influenza A H1N2v,0
2011,South Carolina,Influenza A H3N2v,0
2011,South Carolina,Influenza A H7N2,0
2011,South Dakota,Influenza A H1N1v,0
2011,South Dakota,Influenza A H1N2v,0
2011,South Dakota,Influenza A H3N2v,0
2011,South Dakota,Influenza A H7N2,0
2011,Tennessee,Influenza A H1N1v,0
2011,Tennessee,Influenza A H1N2v,0
2011,Tennessee,Influenza A H3N2v,0
2011,Tennessee,Influenza A H7N2,0
2011,Texas,Influenza A H1N1v,0
2011,Texas,Influenza A H1N2v,0
2011,Texas,Influenza A H3N2v,0
2011,Texas,Influenza A H7N2,0
2011,Utah,Influenza A H1N1v,0
2011,Utah,Influenza A H1N2v,0
2011,Utah,Influenza A H3N2v,0
2011,Utah,Influenza A H7N2,0
2011,Virginia,Influenza A H1N1v,0
2011,Virginia,Influenza A H1N2v,0
2011,Virginia,Influenza A H3N2v,0
2011,Virginia,Influenza A H7N2,0
2011,Vermont,Influenza A H1N1v,0
2011,Vermont,Influenza A H1N2v,0
2011,Vermont,Influenza A H3N2v,0
2011,Vermont,Influenza A H7N2,0
2011,Washington,Influenza A H1N1v,0
2011,Washington,Influenza A H1N2v,0
2011,Washington,Influenza A H3N2v,0
2011,Washington,Influenza A H7N2,0
2011,Wisconsin,Influenza A H1N1v,1
2011,Wisconsin,Influenza A H1N2v,0
2011,Wisconsin,Influenza A H3N2v,0
2011,Wisconsin,Influenza A H7N2,0
2011,West Virginia,Influenza A H1N1v,0
2011,West Virginia,Influenza A H1N2v,0
2011,West Virginia,Influenza A H3N2v,2
2011,West Virginia,Influenza A H7N2,0
2011,Wyoming,Influenza A H1N1v,0
2011,Wyoming,Influenza A H1N2v,0
2011,Wyoming,Influenza A H3N2v,0
2011,Wyoming,Influenza A H7N2,0
2011,Alaska,Influenza A H1N1v,0
2011,Alaska,Influenza A H1N2v,0
2011,Alaska,Influenza A H3N2v,0
2011,Alaska,Influenza A H7N2,0
2012,Alaska,Influenza A H1N1v,0
2012,Alaska,Influenza A H1N2v,0
2012,Alaska,Influenza A H3N2v,0
2012,Alaska,Influenza A H7N2,0
2012,Wyoming,Influenza A H1N1v,0
2012,Wyoming,Influenza A H1N2v,0
2012,Wyoming,Influenza A H3N2v,0
2012,Wyoming,Influenza A H7N2,0
2012,West Virginia,Influenza A H1N1v,0
2012,West Virginia,Influenza A H1N2v,0
2012,West Virginia,Influenza A H3N2v,3
2012,West Virginia,Influenza A H7N2,0
2012,Wisconsin,Influenza A H1N1v,0
2012,Wisconsin,Influenza A H1N2v,0
2012,Wisconsin,Influenza A H3N2v,20
2012,Wisconsin,Influenza A H7N2,0
2012,Washington,Influenza A H1N1v,0
2012,Washington,Influenza A H1N2v,0
2012,Washington,Influenza A H3N2v,0
2012,Washington,Influenza A H7N2,0
2012,Vermont,Influenza A H1N1v,0
2012,Vermont,Influenza A H1N2v,0
2012,Vermont,Influenza A H3N2v,0
2012,Vermont,Influenza A H7N2,0
2012,Virginia,Influenza A H1N1v,0
2012,Virginia,Influenza A H1N2v,0
2012,Virginia,Influenza A H3N2v,0
2012,Virginia,Influenza A H7N2,0
2012,Utah,Influenza A H1N1v,0
2012,Utah,Influenza A H1N2v,0
2012,Utah,Influenza A H3N2v,1
2012,Utah,Influenza A H7N2,0
2012,Texas,Influenza A H1N1v,0
2012,Texas,Influenza A H1N2v,0
2012,Texas,Influenza A H3N2v,0
2012,Texas,Influenza A H7N2,0
2012,Tennessee,Influenza A H1N1v,0
2012,Tennessee,Influenza A H1N2v,0
2012,Tennessee,Influenza A H3N2v,0
2012,Tennessee,Influenza A H7N2,0
2012,South Dakota,Influenza A H1N1v,0
2012,South Dakota,Influenza A H1N2v,0
2012,South Dakota,Influenza A H3N2v,0
2012,South Dakota,Influenza A H7N2,0
2012,South Carolina,Influenza A H1N1v,0
2012,South Carolina,Influenza A H1N2v,0
2012,South Carolina,Influenza A H3N2v,0
2012,South Carolina,Influenza A H7N2,0
2012,Rhode Island,Influenza A H1N1v,0
2012,Rhode Island,Influenza A H1N2v,0
2012,Rhode Island,Influenza A H3N2v,0
2012,Rhode Island,Influenza A H7N2,0
2012,Puerto Rico,Influenza A H1N1v,0
2012,Puerto Rico,Influenza A H1N2v,0
2012,Puerto Rico,Influenza A H3N2v,0
2012,Puerto Rico,Influenza A H7N2,0
2012,Pennsylvania,Influenza A H1N1v,0
2012,Pennsylvania,Influenza A H1N2v,0
2012,Pennsylvania,Influenza A H3N2v,11
2012,Pennsylvania,Influenza A H7N2,0
2012,Oregon,Influenza A H1N1v,0
2012,Oregon,Influenza A H1N2v,0
2012,Oregon,Influenza A H3N2v,0
2012,Oregon,Influenza A H7N2,0
2012,Oklahoma,Influenza A H1N1v,0
2012,Oklahoma,Influenza A H1N2v,0
2012,Oklahoma,Influenza A H3N2v,0
2012,Oklahoma,Influenza A H7N2,0
2012,Ohio,Influenza A H1N1v,0
2012,Ohio,Influenza A H1N2v,0
2012,Ohio,Influenza A H3N2v,107
2012,Ohio,Influenza A H7N2,0
2012,New York,Influenza A H1N1v,0
2012,New York,Influenza A H1N2v,0
2012,New York,Influenza A H3N2v,0
2012,New York,Influenza A H7N2,0
2012,Nevada,Influenza A H1N1v,0
2012,Nevada,Influenza A H1N2v,0
2012,Nevada,Influenza A H3N2v,0
2012,Nevada,Influenza A H7N2,0
2012,New Mexico,Influenza A H1N1v,0
2012,New Mexico,Influenza A H1N2v,0
2012,New Mexico,Influenza A H3N2v,0
2012,New Mexico,Influenza A H7N2,0
2012,Connecticut,Influenza A H1N1v,0
2012,Connecticut,Influenza A H1N2v,0
2012,Connecticut,Influenza A H3N2v,0
2012,Connecticut,Influenza A H7N2,0
2012,Colorado,Influenza A H1N1v,0
2012,Colorado,Influenza A H1N2v,0
2012,Colorado,Influenza A H3N2v,0
2012,Colorado,Influenza A H7N2,0
2012,California,Influenza A H1N1v,0
2012,California,Influenza A H1N2v,0
2012,California,Influenza A H3N2v,0
2012,California,Influenza A H7N2,0
2012,Arizona,Influenza A H1N1v,0
2012,Arizona,Influenza A H1N2v,0
2012,Arizona,Influenza A H3N2v,0
2012,Arizona,Influenza A H7N2,0
2012,Arkansas,Influenza A H1N1v,0
2012,Arkansas,Influenza A H1N2v,0
2012,Arkansas,Influenza A H3N2v,0
2012,Arkansas,Influenza A H7N2,0
2012,Alabama,Influenza A H1N1v,0
2012,Alabama,Influenza A H1N2v,0
2012,Alabama,Influenza A H3N2v,0
2012,Alabama,Influenza A H7N2,0
2012,Louisiana,Influenza A H1N1v,0
2012,Louisiana,Influenza A H1N2v,0
2012,Louisiana,Influenza A H3N2v,0
2012,Louisiana,Influenza A H7N2,0
2012,Kentucky,Influenza A H1N1v,0
2012,Kentucky,Influenza A H1N2v,0
2012,Kentucky,Influenza A H3N2v,0
2012,Kentucky,Influenza A H7N2,0
2012,Kansas,Influenza A H1N1v,0
2012,Kansas,Influenza A H1N2v,0
2012,Kansas,Influenza A H3N2v,0
2012,Kansas,Influenza A H7N2,0
2012,New Jersey,Influenza A H1N1v,0
2012,New Jersey,Influenza A H1N2v,0
2012,New Jersey,Influenza A H3N2v,0
2012,New Jersey,Influenza A H7N2,0
2012,Massachusetts,Influenza A H1N1v,0
2012,Massachusetts,Influenza A H1N2v,0
2012,Massachusetts,Influenza A H3N2v,0
2012,Massachusetts,Influenza A H7N2,0
2012,New Hampshire,Influenza A H1N1v,0
2012,New Hampshire,Influenza A H1N2v,0
2012,New Hampshire,Influenza A H3N2v,0
2012,New Hampshire,Influenza A H7N2,0
2012,Nebraska,Influenza A H1N1v,0
2012,Nebraska,Influenza A H1N2v,0
2012,Nebraska,Influenza A H3N2v,0
2012,Nebraska,Influenza A H7N2,0
2012,North Dakota,Influenza A H1N1v,0
2012,North Dakota,Influenza A H1N2v,0
2012,North Dakota,Influenza A H3N2v,0
2012,North Dakota,Influenza A H7N2,0
2012,North Carolina,Influenza A H1N1v,0
2012,North Carolina,Influenza A H1N2v,0
2012,North Carolina,Influenza A H3N2v,0
2012,North Carolina,Influenza A H7N2,0
2012,Montana,Influenza A H1N1v,0
2012,Montana,Influenza A H1N2v,0
2012,Montana,Influenza A H3N2v,0
2012,Montana,Influenza A H7N2,0
2012,Mississippi,Influenza A H1N1v,0
2012,Mississippi,Influenza A H1N2v,0
2012,Mississippi,Influenza A H3N2v,0
2012,Mississippi,Influenza A H7N2,0
2012,Missouri,Influenza A H1N1v,1
2012,Missouri,Influenza A H1N2v,0
2012,Missouri,Influenza A H3N2v,0
2012,Missouri,Influenza A H7N2,0
2012,Minnesota,Influenza A H1N1v,0
2012,Minnesota,Influenza A H1N2v,3
2012,Minnesota,Influenza A H3N2v,5
2012,Minnesota,Influenza A H7N2,0
2012,Michigan,Influenza A H1N1v,0
2012,Michigan,Influenza A H1N2v,0
2012,Michigan,Influenza A H3N2v,6
2012,Michigan,Influenza A H7N2,0
2012,Maine,Influenza A H1N1v,0
2012,Maine,Influenza A H1N2v,0
2012,Maine,Influenza A H3N2v,0
2012,Maine,Influenza A H7N2,0
2012,Maryland,Influenza A H1N1v,0
2012,Maryland,Influenza A H1N2v,0
2012,Maryland,Influenza A H3N2v,12
2012,Maryland,Influenza A H7N2,0
2012,Indiana,Influenza A H1N1v,0
2012,Indiana,Influenza A H1N2v,0
2012,Indiana,Influenza A H3N2v,138
2012,Indiana,Influenza A H7N2,0
2012,Florida,Influenza A H1N1v,0
2012,Florida,Influenza A H1N2v,0
2012,Florida,Influenza A H3N2v,0
2012,Florida,Influenza A H7N2,0
2012,Illinois,Influenza A H1N1v,0
2012,Illinois,Influenza A H1N2v,0
2012,Illinois,Influenza A H3N2v,4
2012,Illinois,Influenza A H7N2,0
2012,Idaho,Influenza A H1N1v,0
2012,Idaho,Influenza A H1N2v,0
2012,Idaho,Influenza A H3N2v,0
2012,Idaho,Influenza A H7N2,0
2012,Iowa,Influenza A H1N1v,0
2012,Iowa,Influenza A H1N2v,0
2012,Iowa,Influenza A H3N2v,1
2012,Iowa,Influenza A H7N2,0
2012,Hawaii,Influenza A H1N1v,0
2012,Hawaii,Influenza A H1N2v,0
2012,Hawaii,Influenza A H3N2v,1
2012,Hawaii,Influenza A H7N2,0
2012,Georgia,Influenza A H1N1v,0
2012,Georgia,Influenza A H1N2v,0
2012,Georgia,Influenza A H3N2v,0
2012,Georgia,Influenza A H7N2,0
2012,Delaware,Influenza A H1N1v,0
2012,Delaware,Influenza A H1N2v,0
2012,Delaware,Influenza A H3N2v,0
2012,Delaware,Influenza A H7N2,0
2012,District of Columbia,Influenza A H1N1v,0
2012,District of Columbia,Influenza A H1N2v,0
2012,District of Columbia,Influenza A H3N2v,0
2012,District of Columbia,Influenza A H7N2,0
2013,District of Columbia,Influenza A H1N1v,0
2013,District of Columbia,Influenza A H1N2v,0
2013,District of Columbia,Influenza A H3N2v,0
2013,District of Columbia,Influenza A H7N2,0
2013,Delaware,Influenza A H1N1v,0
2013,Delaware,Influenza A H1N2v,0
2013,Delaware,Influenza A H3N2v,0
2013,Delaware,Influenza A H7N2,0
2013,Georgia,Influenza A H1N1v,0
2013,Georgia,Influenza A H1N2v,0
2013,Georgia,Influenza A H3N2v,0
2013,Georgia,Influenza A H7N2,0
2013,Hawaii,Influenza A H1N1v,0
2013,Hawaii,Influenza A H1N2v,0
2013,Hawaii,Influenza A H3N2v,0
2013,Hawaii,Influenza A H7N2,0
2013,Iowa,Influenza A H1N1v,0
2013,Iowa,Influenza A H1N2v,0
2013,Iowa,Influenza A H3N2v,1
2013,Iowa,Influenza A H7N2,0
2013,Idaho,Influenza A H1N1v,0
2013,Idaho,Influenza A H1N2v,0
2013,Idaho,Influenza A H3N2v,0
2013,Idaho,Influenza A H7N2,0
2013,Illinois,Influenza A H1N1v,0
2013,Illinois,Influenza A H1N2v,0
2013,Illinois,Influenza A H3N2v,1
2013,Illinois,Influenza A H7N2,0
2013,Florida,Influenza A H1N1v,0
2013,Florida,Influenza A H1N2v,0
2013,Florida,Influenza A H3N2v,0
2013,Florida,Influenza A H7N2,0
2013,Indiana,Influenza A H1N1v,0
2013,Indiana,Influenza A H1N2v,0
2013,Indiana,Influenza A H3N2v,14
2013,Indiana,Influenza A H7N2,0
2013,Maryland,Influenza A H1N1v,0
2013,Maryland,Influenza A H1N2v,0
2013,Maryland,Influenza A H3N2v,0
2013,Maryland,Influenza A H7N2,0
2013,Maine,Influenza A H1N1v,0
2013,Maine,Influenza A H1N2v,0
2013,Maine,Influenza A H3N2v,0
2013,Maine,Influenza A H7N2,0
2013,Michigan,Influenza A H1N1v,0
2013,Michigan,Influenza A H1N2v,0
2013,Michigan,Influenza A H3N2v,2
2013,Michigan,Influenza A H7N2,0
2013,Minnesota,Influenza A H1N1v,0
2013,Minnesota,Influenza A H1N2v,0
2013,Minnesota,Influenza A H3N2v,0
2013,Minnesota,Influenza A H7N2,0
2013,Missouri,Influenza A H1N1v,0
2013,Missouri,Influenza A H1N2v,0
2013,Missouri,Influenza A H3N2v,0
2013,Missouri,Influenza A H7N2,0
2013,Mississippi,Influenza A H1N1v,0
2013,Mississippi,Influenza A H1N2v,0
2013,Mississippi,Influenza A H3N2v,0
2013,Mississippi,Influenza A H7N2,0
2013,Montana,Influenza A H1N1v,0
2013,Montana,Influenza A H1N2v,0
2013,Montana,Influenza A H3N2v,0
2013,Montana,Influenza A H7N2,0
2013,North Carolina,Influenza A H1N1v,0
2013,North Carolina,Influenza A H1N2v,0
2013,North Carolina,Influenza A H3N2v,0
2013,North Carolina,Influenza A H7N2,0
2013,North Dakota,Influenza A H1N1v,0
2013,North Dakota,Influenza A H1N2v,0
2013,North Dakota,Influenza A H3N2v,0
2013,North Dakota,Influenza A H7N2,0
2013,Nebraska,Influenza A H1N1v,0
2013,Nebraska,Influenza A H1N2v,0
2013,Nebraska,Influenza A H3N2v,0
2013,Nebraska,Influenza A H7N2,0
2013,New Hampshire,Influenza A H1N1v,0
2013,New Hampshire,Influenza A H1N2v,0
2013,New Hampshire,Influenza A H3N2v,0
2013,New Hampshire,Influenza A H7N2,0
2013,Massachusetts,Influenza A H1N1v,0
2013,Massachusetts,Influenza A H1N2v,0
2013,Massachusetts,Influenza A H3N2v,0
2013,Massachusetts,Influenza A H7N2,0
2013,New Jersey,Influenza A H1N1v,0
2013,New Jersey,Influenza A H1N2v,0
2013,New Jersey,Influenza A H3N2v,0
2013,New Jersey,Influenza A H7N2,0
2013,Kansas,Influenza A H1N1v,0
2013,Kansas,Influenza A H1N2v,0
2013,Kansas,Influenza A H3N2v,0
2013,Kansas,Influenza A H7N2,0
2013,Kentucky,Influenza A H1N1v,0
2013,Kentucky,Influenza A H1N2v,0
2013,Kentucky,Influenza A H3N2v,0
2013,Kentucky,Influenza A H7N2,0
2013,Louisiana,Influenza A H1N1v,0
2013,Louisiana,Influenza A H1N2v,0
2013,Louisiana,Influenza A H3N2v,0
2013,Louisiana,Influenza A H7N2,0
2013,Alabama,Influenza A H1N1v,0
2013,Alabama,Influenza A H1N2v,0
2013,Alabama,Influenza A H3N2v,0
2013,Alabama,Influenza A H7N2,0
2013,Arkansas,Influenza A H1N1v,2
2013,Arkansas,Influenza A H1N2v,0
2013,Arkansas,Influenza A H3N2v,0
2013,Arkansas,Influenza A H7N2,0
2013,Arizona,Influenza A H1N1v,0
2013,Arizona,Influenza A H1N2v,0
2013,Arizona,Influenza A H3N2v,0
2013,Arizona,Influenza A H7N2,0
2013,California,Influenza A H1N1v,0
2013,California,Influenza A H1N2v,0
2013,California,Influenza A H3N2v,0
2013,California,Influenza A H7N2,0
2013,Colorado,Influenza A H1N1v,0
2013,Colorado,Influenza A H1N2v,0
2013,Colorado,Influenza A H3N2v,0
2013,Colorado,Influenza A H7N2,0
2013,Connecticut,Influenza A H1N1v,0
2013,Connecticut,Influenza A H1N2v,0
2013,Connecticut,Influenza A H3N2v,0
2013,Connecticut,Influenza A H7N2,0
2013,New Mexico,Influenza A H1N1v,0
2013,New Mexico,Influenza A H1N2v,0
2013,New Mexico,Influenza A H3N2v,0
2013,New Mexico,Influenza A H7N2,0
2013,Nevada,Influenza A H1N1v,0
2013,Nevada,Influenza A H1N2v,0
2013,Nevada,Influenza A H3N2v,0
2013,Nevada,Influenza A H7N2,0
2013,New York,Influenza A H1N1v,0
2013,New York,Influenza A H1N2v,0
2013,New York,Influenza A H3N2v,0
2013,New York,Influenza A H7N2,0
2013,Ohio,Influenza A H1N1v,0
2013,Ohio,Influenza A H1N2v,0
2013,Ohio,Influenza A H3N2v,1
2013,Ohio,Influenza A H7N2,0
2013,Oklahoma,Influenza A H1N1v,0
2013,Oklahoma,Influenza A H1N2v,0
2013,Oklahoma,Influenza A H3N2v,0
2013,Oklahoma,Influenza A H7N2,0
2013,Oregon,Influenza A H1N1v,0
2013,Oregon,Influenza A H1N2v,0
2013,Oregon,Influenza A H3N2v,0
2013,Oregon,Influenza A H7N2,0
2013,Pennsylvania,Influenza A H1N1v,0
2013,Pennsylvania,Influenza A H1N2v,0
2013,Pennsylvania,Influenza A H3N2v,0
2013,Pennsylvania,Influenza A H7N2,0
2013,Puerto Rico,Influenza A H1N1v,0
2013,Puerto Rico,Influenza A H1N2v,0
2013,Puerto Rico,Influenza A H3N2v,0
2013,Puerto Rico,Influenza A H7N2,0
2013,Rhode Island,Influenza A H1N1v,0
2013,Rhode Island,Influenza A H1N2v,0
2013,Rhode Island,Influenza A H3N2v,0
2013,Rhode Island,Influenza A H7N2,0
2013,South Carolina,Influenza A H1N1v,0
2013,South Carolina,Influenza A H1N2v,0
2013,South Carolina,Influenza A H3N2v,0
2013,South Carolina,Influenza A H7N2,0
2013,South Dakota,Influenza A H1N1v,0
2013,South Dakota,Influenza A H1N2v,0
2013,South Dakota,Influenza A H3N2v,0
2013,South Dakota,Influenza A H7N2,0
2013,Tennessee,Influenza A H1N1v,0
2013,Tennessee,Influenza A H1N2v,0
2013,Tennessee,Influenza A H3N2v,0
2013,Tennessee,Influenza A H7N2,0
2013,Texas,Influenza A H1N1v,0
2013,Texas,Influenza A H1N2v,0
2013,Texas,Influenza A H3N2v,0
2013,Texas,Influenza A H7N2,0
2013,Utah,Influenza A H1N1v,0
2013,Utah,Influenza A H1N2v,0
2013,Utah,Influenza A H3N2v,0
2013,Utah,Influenza A H7N2,0
2013,Virginia,Influenza A H1N1v,0
2013,Virginia,Influenza A H1N2v,0
2013,Virginia,Influenza A H3N2v,0
2013,Virginia,Influenza A H7N2,0
2013,Vermont,Influenza A H1N1v,0
2013,Vermont,Influenza A H1N2v,0
2013,Vermont,Influenza A H3N2v,0
2013,Vermont,Influenza A H7N2,0
2013,Washington,Influenza A H1N1v,0
2013,Washington,Influenza A H1N2v,0
2013,Washington,Influenza A H3N2v,0
2013,Washington,Influenza A H7N2,0
2013,Wisconsin,Influenza A H1N1v,0
2013,Wisconsin,Influenza A H1N2v,0
2013,Wisconsin,Influenza A H3N2v,0
2013,Wisconsin,Influenza A H7N2,0
2013,West Virginia,Influenza A H1N1v,0
2013,West Virginia,Influenza A H1N2v,0
2013,West Virginia,Influenza A H3N2v,0
2013,West Virginia,Influenza A H7N2,0
2013,Wyoming,Influenza A H1N1v,0
2013,Wyoming,Influenza A H1N2v,0
2013,Wyoming,Influenza A H3N2v,0
2013,Wyoming,Influenza A H7N2,0
2013,Alaska,Influenza A H1N1v,0
2013,Alaska,Influenza A H1N2v,0
2013,Alaska,Influenza A H3N2v,0
2013,Alaska,Influenza A H7N2,0
2014,Alaska,Influenza A H1N1v,0
2014,Alaska,Influenza A H1N2v,0
2014,Alaska,Influenza A H3N2v,0
2014,Alaska,Influenza A H7N2,0
2014,Wyoming,Influenza A H1N1v,0
2014,Wyoming,Influenza A H1N2v,0
2014,Wyoming,Influenza A H3N2v,0
2014,Wyoming,Influenza A H7N2,0
2014,West Virginia,Influenza A H1N1v,0
2014,West Virginia,Influenza A H1N2v,0
2014,West Virginia,Influenza A H3N2v,0
2014,West Virginia,Influenza A H7N2,0
2014,Wisconsin,Influenza A H1N1v,0
2014,Wisconsin,Influenza A H1N2v,0
2014,Wisconsin,Influenza A H3N2v,1
2014,Wisconsin,Influenza A H7N2,0
2014,Washington,Influenza A H1N1v,0
2014,Washington,Influenza A H1N2v,0
2014,Washington,Influenza A H3N2v,0
2014,Washington,Influenza A H7N2,0
2014,Vermont,Influenza A H1N1v,0
2014,Vermont,Influenza A H1N2v,0
2014,Vermont,Influenza A H3N2v,0
2014,Vermont,Influenza A H7N2,0
2014,Virginia,Influenza A H1N1v,0
2014,Virginia,Influenza A H1N2v,0
2014,Virginia,Influenza A H3N2v,0
2014,Virginia,Influenza A H7N2,0
2014,Utah,Influenza A H1N1v,0
2014,Utah,Influenza A H1N2v,0
2014,Utah,Influenza A H3N2v,0
2014,Utah,Influenza A H7N2,0
2014,Texas,Influenza A H1N1v,0
