name, group, connectedness, stress, infected?
name339,3,35,42,0
name340,3,8,42,0
name341,3,20,43,0
name342,3,25,93,0
name343,3,47,11,0
name344,3,45,81,0
name345,2,29,26,0
name346,1,42,58,0
name347,1,65,20,0
name348,3,65,61,0
name349,3,14,81,0
name350,3,38,24,0
name351,1,1,39,0
name352,1,1,79,0
name353,2,53,97,0
name354,2,7,91,0
name355,2,12,10,0
name356,1,29,26,0
name357,3,13,73,0
name358,2,35,1,0
name359,3,81,4,0
name360,3,36,73,0
name361,1,59,6,0
name362,3,13,97,0
name363,1,49,31,0
name364,3,11,95,0
name365,2,57,73,0
name366,1,93,52,0
name367,3,91,47,0
name368,3,25,76,0
name369,3,78,24,0
name370,2,74,30,0
name371,1,16,37,0
name372,1,55,94,0
name373,1,82,46,0
name374,2,91,24,0
name375,1,72,51,0
name376,2,77,83,0
name377,3,18,19,0
name378,1,74,95,0
name379,3,96,47,0
name380,1,18,65,0
name381,1,99,12,0
name382,1,66,99,0
name383,1,1,28,0
name384,3,80,18,0
name385,3,11,98,0
name386,2,73,58,0
name387,1,73,5,0
name388,2,17,50,0
name389,3,99,65,0
name390,1,73,97,0
name391,3,13,6,0
name392,3,40,55,0
name393,3,49,92,0
name394,1,1,78,0
name395,2,84,96,0
name396,2,4,16,0
name397,3,62,25,0
name398,3,76,94,0
name399,2,93,46,0
name400,2,94,29,0
name401,3,82,13,0
name402,2,54,81,0
name403,2,88,38,0
name404,2,14,58,0
name405,1,25,85,0
name406,3,98,83,0
name407,1,36,73,0
name408,1,35,40,0
name409,2,31,67,0
name410,3,3,1,0
name411,3,59,40,0
name412,3,35,83,0
name413,1,94,58,0
name414,2,11,4,0
name415,3,1,1,0
name416,2,47,34,0
name417,3,23,6,0
name418,1,11,76,0
name419,3,93,12,0
name420,3,7,84,0
name421,3,52,55,1
name422,1,7,80,0
name423,2,9,92,0
name424,3,68,47,0
name425,3,47,17,0
name426,3,83,92,0
name427,3,31,7,0
name428,1,58,81,0
name429,3,6,89,0
name430,1,11,40,0
name431,1,7,36,0
name432,3,86,32,0
name433,3,32,93,0
name434,1,76,84,0
name435,3,81,85,0
name436,3,65,76,0
name437,1,53,12,0
name438,1,11,23,0
name439,1,44,57,0
name440,1,69,69,0
name441,3,95,59,0
name442,1,15,4,0
name443,3,85,45,0
name444,1,6,10,0
name445,2,96,8,0
name446,1,33,4,0
name447,3,49,28,0
name448,2,40,22,0
name449,3,49,68,0
name450,3,40,82,0
name451,2,62,50,0
name452,2,4,69,0
name453,2,73,14,0
name454,1,76,100,0
name455,3,55,65,0
name456,2,92,22,0
name457,2,61,85,0
name458,3,20,33,0
name459,3,51,91,0
name460,3,65,40,0
name461,2,49,25,0
name462,3,10,71,0
name463,3,60,50,0
name464,2,44,78,0
name465,2,44,88,0
name466,3,49,77,0
name467,2,66,95,0
name468,2,30,24,0
name469,1,63,27,0
name470,1,58,66,0
name471,2,47,100,0
name472,3,6,90,0
name473,2,29,4,0
name474,3,93,64,0
name475,3,63,29,0
name476,1,89,49,0
name477,2,87,100,0
name478,3,9,78,0
name479,3,85,32,0
name480,3,66,27,0
name481,1,22,75,0
name482,2,22,14,0
name483,1,82,54,0
name484,1,82,82,0
name485,2,97,67,0
name486,2,63,2,0
name487,3,62,20,0
name488,3,72,82,0
name489,2,29,73,0
name490,3,66,20,0
name491,1,88,80,0
name492,1,67,55,0
name493,1,50,5,0
name494,3,51,25,0
name495,1,14,29,0
name496,3,9,32,0
name497,2,59,37,0
name498,2,25,26,0
name499,2,43,93,0
name500,1,46,18,0
name501,1,68,10,0
name502,1,48,80,0
name503,1,100,36,0
name504,1,16,57,0
name505,1,65,24,0
name506,2,100,84,0
name507,3,27,51,0
name508,2,98,65,0
name509,2,15,93,0
name510,3,34,21,0
name511,1,5,73,0
name512,3,97,67,0
name513,2,34,32,0
name514,1,19,52,0
name515,3,33,14,0
name516,2,94,84,0
name517,2,60,80,0
name518,1,32,90,0
name519,3,93,74,0
name520,3,14,30,0
name521,2,76,41,0
name522,1,1,41,0
name523,3,30,65,0
name524,2,86,75,0
name525,1,19,82,0
name526,3,97,12,0
name527,2,4,77,0
name528,3,50,33,0
name529,1,84,93,0
name530,1,3,84,0
name531,1,34,94,0
name532,3,97,87,0
name533,1,5,64,0
name534,2,8,20,0
name535,3,6,84,0
name536,1,9,86,0
name537,2,4,45,0
name538,2,42,72,0
name539,2,30,81,0
name540,3,4,51,0
name541,3,95,68,0
name542,2,90,100,0
name543,3,75,75,0
name544,3,27,82,0
name545,3,58,53,0
name546,1,84,30,0
name547,1,81,56,0
name548,3,41,21,0
name549,1,76,68,0
name550,1,33,35,0
name551,3,16,84,0
name552,2,89,29,0
name553,1,69,77,0
name554,2,5,29,0
name555,1,87,75,0
name556,2,33,77,0
name557,3,41,27,0
name558,3,41,5,0
name559,2,57,35,0
name560,2,73,32,0
name561,1,48,78,0
name562,2,84,89,0
name563,2,97,63,0
name564,2,14,42,0
name565,2,65,21,0
name566,3,54,48,0
name567,1,39,32,0
name568,2,72,39,0
name569,3,26,71,0
name570,1,38,57,0
name571,2,31,69,0
name572,1,37,44,0
name573,1,54,89,0
name574,3,12,5,0
name575,2,33,29,0
name576,3,56,43,0
name577,1,75,75,0
name578,3,61,72,0
name579,1,4,27,0
name580,2,64,56,0
name581,1,70,31,0
name582,2,26,58,0
name583,1,95,92,0
name584,2,19,47,0
name585,1,33,11,0
name586,1,53,11,0
name587,2,30,34,0
name588,3,38,42,0
name589,1,4,64,1
name590,3,12,46,1
name591,3,66,3,0
name592,2,40,39,0
name593,2,57,82,0
name594,3,32,50,0
name595,3,56,89,0
name596,3,15,83,0
name597,2,93,90,0
name598,3,9,83,0
name599,2,56,43,0
name600,3,6,81,0
name601,3,70,53,0
name602,3,76,83,0
name603,3,94,35,0
name604,1,18,88,0
name605,1,15,9,0
name606,2,17,79,0
name607,3,51,48,0
name608,2,49,69,0
name609,1,25,59,0
name610,2,50,32,0
name611,1,90,37,0
name612,2,26,17,0
name613,2,96,37,0
name614,3,53,61,0
name615,2,96,85,0
name616,1,87,11,0
name617,1,78,18,0
name618,1,13,20,0
name619,2,34,76,0
name620,3,99,87,0
name621,1,10,46,0
name622,2,54,61,0
name623,2,21,33,0
name624,1,64,27,0
name625,3,67,68,0
name626,1,9,23,0
name627,1,89,65,0
name628,3,80,5,0
name629,1,51,22,0
name630,2,49,79,0
name631,1,48,88,0
name632,1,59,64,0
name633,2,83,94,0
name634,3,92,17,0
name635,1,57,24,0
name636,1,42,77,0
name637,2,44,65,0
name638,2,14,85,0
name639,3,48,68,0
name640,1,40,57,0
name641,2,48,73,0
name642,1,54,47,0
name643,3,73,11,0
name644,2,94,29,0
name645,1,77,81,0
name646,1,72,76,0
name647,2,95,65,0
name648,3,74,99,0
name649,2,68,61,0
name650,3,58,55,0
name651,3,22,95,0
name652,1,16,30,0
name653,2,36,79,0
name654,1,9,50,0
name655,1,12,66,0
name656,1,91,47,0
name657,3,47,14,0
name658,3,88,6,0
name659,2,16,69,0
name660,3,47,82,0
name661,3,52,13,0
name662,1,31,8,0
name663,2,10,38,0
name664,3,52,84,0
name665,3,100,70,0
name666,2,50,14,0
name667,2,75,80,0
name668,3,26,88,0
name669,1,17,45,0
name670,3,70,9,0
name671,1,26,71,0
name672,2,99,82,0
name673,2,12,17,0
name674,3,69,63,0
name675,1,8,46,0
name676,3,19,69,0
name677,3,25,53,0
name678,3,26,41,0
name679,3,57,92,0
name680,3,13,13,0
name681,1,21,53,0
name682,3,21,10,0
name683,1,40,6,0
name684,2,39,21,0
name685,2,66,33,0
name686,3,2,74,0
name687,3,25,89,0
name688,1,17,80,0
name689,2,87,45,0
name690,1,95,45,0
name691,1,45,65,0
name692,3,91,100,0
name693,3,22,82,0
name694,1,42,5,0
name695,3,78,47,0
name696,1,23,64,0
name697,1,81,66,0
name698,1,17,5,0
name699,3,87,87,0
name700,1,82,75,0
name701,3,3,52,0
name702,2,54,24,0
name703,2,30,64,0
name704,3,55,14,0
name705,2,31,43,0
name706,3,5,35,0
name707,3,59,37,0
name708,1,2,76,0
name709,3,37,93,0
name710,2,99,19,0
name711,3,9,4,0
name712,2,40,100,0
name713,1,55,96,0
name714,1,40,77,0
name715,3,1,42,0
name716,2,39,96,0
name717,3,84,72,0
name718,1,27,70,0
name719,3,7,38,0
name720,1,97,34,0
name721,1,71,52,0
name722,2,11,3,0
name723,1,73,95,0
name724,2,96,95,0
name725,3,27,18,0
name726,1,51,47,0
name727,1,30,9,0
name728,1,94,79,0
name729,2,45,22,0
name730,2,99,31,0
name731,1,90,69,0
name732,2,98,69,0
name733,3,45,47,0
name734,2,8,12,0
name735,3,12,81,0
name736,3,18,80,0
name737,2,74,10,0
name738,2,93,12,0
name739,3,58,96,0
name740,2,72,5,0
name741,1,41,5,0
name742,1,10,53,0
name743,2,20,55,0
name744,1,38,90,0
name745,1,38,79,0
name746,3,42,37,0
name747,1,34,89,0
name748,1,82,85,0
name749,2,81,18,0
name750,3,40,84,0
name751,2,33,58,0
name752,1,70,57,0
name753,3,72,10,0
name754,2,74,14,0
name755,1,50,17,0
name756,2,97,64,0
name757,2,12,35,0
name758,3,38,71,0
name759,3,98,19,0
name760,1,16,27,0
name761,2,35,41,0
name762,2,64,99,0
name763,1,44,60,0
name764,3,95,59,0
name765,1,19,89,0
name766,2,57,14,0
name767,1,14,28,0
name768,1,55,32,0
name769,2,24,90,0
name770,1,38,17,0
name771,1,66,23,0
name772,3,83,95,0
name773,2,48,82,0
name774,2,69,40,0
name775,2,14,82,0
name776,1,25,90,0
name777,3,53,79,0
name778,3,73,93,0
name779,2,39,87,0
name780,2,50,77,0
name781,2,2,92,0
name782,1,35,53,0
name783,1,16,27,0
name784,3,51,99,0
name785,2,9,44,0
name786,1,15,2,0
name787,1,42,35,0
name788,2,60,54,0
name789,3,86,59,0
name790,2,6,22,0
name791,3,7,40,0
name792,1,23,36,0
name793,1,53,18,0
name794,3,2,70,0
name795,2,8,77,0
name796,2,61,31,0
name797,3,15,21,0
name798,3,4,39,0
name799,2,90,73,0
name800,2,81,15,0
name801,3,59,6,1
name802,2,20,3,0
name803,2,36,10,0
name804,2,13,20,0
name805,3,24,41,0
name806,1,28,92,0
name807,3,51,47,0
name808,2,81,67,0
name809,1,59,27,0
name810,2,8,1,0
name811,3,83,67,0
name812,2,85,94,0
name813,2,48,78,0
name814,2,7,67,0
name815,3,21,7,0
name816,2,91,46,0
name817,2,94,85,0
name818,3,34,69,0
name819,3,89,69,0
name820,2,63,93,0
name821,3,95,85,0
name822,3,68,13,0
name823,2,29,90,0
name824,1,79,50,0
name825,1,75,86,0
name826,1,14,24,0
name827,1,33,85,0
name828,1,25,84,0
name829,3,61,76,0
name830,2,43,22,0
name831,1,21,77,0
name832,2,35,86,0
name833,3,79,37,0
name834,3,50,47,0
name835,1,27,77,0
name836,3,56,18,0
name837,3,48,50,0
name838,2,3,72,0
name839,1,23,68,0
name840,3,48,29,0
name841,3,79,80,0
name842,3,36,81,0
name843,3,67,60,0
name844,2,94,80,0
name845,2,21,32,0
name846,1,4,10,0
name847,2,66,67,0
name848,3,5,20,0
name849,1,1,21,0
name850,1,36,95,0
name851,1,91,76,0
name852,1,48,78,0
name853,2,71,4,0
name854,1,80,85,0
name855,2,61,23,0
name856,3,73,64,0
name857,1,37,71,0
name858,1,46,76,0
name859,3,20,97,0
name860,2,11,88,0
name861,2,95,84,0
name862,1,26,5,0
name863,2,99,3,0
name864,1,7,72,0
name865,1,3,17,0
name866,2,4,72,0
name867,3,96,43,0
name868,1,54,15,0
name869,1,87,43,0
name870,2,52,38,0
name871,1,35,87,0
name872,1,76,6,0
name873,2,66,50,0
name874,2,95,1,0
name875,1,89,28,0
name876,1,56,78,0
name877,2,51,38,0
name878,2,89,24,0
name879,3,87,63,0
name880,2,74,43,0
name881,3,77,24,0
name882,1,74,30,0
name883,3,19,58,0
name884,1,88,95,0
name885,1,44,45,0
name886,2,62,34,0
name887,1,34,45,0
name888,1,55,19,0
name889,3,47,99,0
name890,1,43,25,0
name891,2,18,46,0
name892,3,42,46,0
name893,2,96,51,0
name894,1,76,18,0
name895,3,39,41,0
name896,1,45,98,0
name897,3,30,93,0
name898,2,95,67,0
name899,2,60,61,0
name900,2,54,36,0
name901,3,69,16,0
name902,2,25,59,0
name903,3,66,65,0
name904,3,27,88,0
name905,1,35,16,0
name906,3,56,57,0
name907,2,75,4,0
name908,1,87,13,0
name909,2,77,38,0
name910,2,42,76,0
name911,2,55,78,0
name912,2,34,62,0
name913,1,5,75,0
name914,3,82,97,0
name915,3,37,19,0
name916,2,38,21,0
name917,2,63,23,0
name918,1,67,53,0
name919,1,38,25,0
name920,3,47,12,0
name921,3,17,74,0
name922,1,33,81,0
name923,3,95,90,0
name924,2,89,82,0
name925,3,99,79,0
name926,2,52,95,0
name927,3,62,74,0
name928,1,81,2,0
name929,1,74,69,0
name930,3,58,96,0
name931,1,59,41,0
name932,1,7,82,0
name933,1,57,39,0
name934,2,42,57,0
name935,3,30,65,0
name936,2,37,77,0
name937,3,27,65,0
name938,1,18,13,0
name939,1,27,69,0
name940,2,36,39,0
name941,3,82,52,0
name942,1,89,83,0
name943,1,47,19,0
name944,1,38,14,0
name945,3,85,25,0
name946,3,36,37,0
name947,3,36,30,0
name948,1,62,6,0
name949,3,57,11,0
name950,3,18,76,0
name951,3,88,57,0
name952,2,47,90,0
name953,2,21,81,0
name954,2,38,24,0
name955,1,36,63,0
name956,2,77,30,0
name957,2,13,38,0
name958,3,99,49,0
name959,2,27,11,0
name960,2,2,82,0
name961,3,61,20,0
name962,2,3,30,0
name963,3,88,13,0
name964,3,79,37,0
name965,2,98,98,0
name966,2,87,28,0
name967,2,63,91,0
name968,1,40,54,0
name969,1,14,86,0
name970,3,77,97,0
name971,2,82,92,0
name972,3,98,24,0
name973,2,50,74,0
name974,1,56,94,0
name975,3,49,43,0
name976,2,73,99,0
name977,3,63,63,0
name978,1,54,74,0
name979,3,6,27,0
name980,2,87,45,0
name981,1,99,21,0
name982,2,36,29,0
name983,1,64,56,0
name984,3,61,61,0
name985,1,22,91,0
name986,3,1,97,0
name987,3,38,100,0
name988,2,16,50,0
name989,1,13,60,0
name990,3,35,98,0
name991,3,44,14,0
name992,2,53,46,0
name993,1,85,19,0
name994,1,39,60,0
name995,3,3,28,0
name996,2,80,29,0
name997,2,40,36,0
name998,1,40,55,0
name999,1,56,58,0
